水牛体重、胸围、体长和体高测定结果,,,,,,,,,
编号,胸围x1,体长x2,体高x3,体重y,,,,,
1,194,146,122.1,443.5,,,,,
2,200,150,123.5,507.5,,,,,
3,194,150,126.5,462.5,,,,,
4,211,153,134.5,514,,,,,
5,205,153,129.5,471.5,,,,,
6,204,153,125.5,545,,,,,
7,215,154,133,540.5,,,,,
8,207,142,128.5,536,,,,,
9,201,153,128.7,468,,,,,
10,199,160,127.5,550.5,,,,,
11,200,149,123.5,492,,,,,
12,210,160,138.6,583,,,,,
13,194,140,124,442.5,,,,,
14,190,147,121,439.5,,,,,
15,203,148,129,477.5,,,,,
16,194,135,118,450,,,,,
17,190,135,122,466,,,,,
18,190,138.5,124,480,,,,,
19,185,140,119.5,422,,,,,
20,183,130,114,413.5,,,,,
21,193,145,123.5,471,,,,,
22,188,133,119,414.5,,,,,
23,179,140,119,410,,,,,
24,193,140,116,428.5,,,,,
25,190,155,120.5,468,,,,,
26,195.5,150,129.5,517.5,,,,,
27,207.5,160,128.5,578,,,,,
28,211,150,132.5,620,,,,,
29,203,137,130,481,,,,,
30,220,165,142.2,702,,,,,
31,197,142,124,420,,,,,
32,194,149,122,491,,,,,
33,198,150,131.5,515,,,,,
34,200,135,128,483,,,,,
35,197,153,124,505,,,,,
36,192,144,119.5,465,,,,,
37,185,154,119.5,460,,,,,
38,187,151,123,404,,,,,
39,194,152,120,496,,,,,
40,201,151,123.5,509.5,,,,,
